"행정구역(동읍면)별","시점","항목","5세별",데이터
"면목제2동","2011","총인구수 (명)","계",28410
"면목제2동","2011","총인구수 (명)","0 - 4세",1121
"면목제2동","2011","총인구수 (명)","5 - 9세",1097
"면목제2동","2011","총인구수 (명)","10 - 14세",1535
"면목제2동","2011","총인구수 (명)","15 - 19세",1788
"면목제2동","2011","총인구수 (명)","20 - 24세",1762
"면목제2동","2011","총인구수 (명)","25 - 29세",2163
"면목제2동","2011","총인구수 (명)","30 - 34세",2554
"면목제2동","2011","총인구수 (명)","35 - 39세",2471
"면목제2동","2011","총인구수 (명)","40 - 44세",2680
"면목제2동","2011","총인구수 (명)","45 - 49세",2650
"면목제2동","2011","총인구수 (명)","50 - 54세",2470
"면목제2동","2011","총인구수 (명)","55 - 59세",1927
"면목제2동","2011","총인구수 (명)","60 - 64세",1377
"면목제2동","2011","총인구수 (명)","65 - 69세",1107
"면목제2동","2011","총인구수 (명)","70 - 74세",793
"면목제2동","2011","총인구수 (명)","75 - 79세",477
"면목제2동","2011","총인구수 (명)","80 - 84세",278
"면목제2동","2011","총인구수 (명)","85 - 89세",107
"면목제2동","2011","총인구수 (명)","90 - 94세",42
"면목제2동","2011","총인구수 (명)","95 - 99세",8
"면목제2동","2011","총인구수 (명)","100+",3
"면목제2동","2011","남자인구수 (명)","계",14377
"면목제2동","2011","남자인구수 (명)","0 - 4세",589
"면목제2동","2011","남자인구수 (명)","5 - 9세",543
"면목제2동","2011","남자인구수 (명)","10 - 14세",815
"면목제2동","2011","남자인구수 (명)","15 - 19세",927
"면목제2동","2011","남자인구수 (명)","20 - 24세",896
"면목제2동","2011","남자인구수 (명)","25 - 29세",1097
"면목제2동","2011","남자인구수 (명)","30 - 34세",1398
"면목제2동","2011","남자인구수 (명)","35 - 39세",1258
"면목제2동","2011","남자인구수 (명)","40 - 44세",1420
"면목제2동","2011","남자인구수 (명)","45 - 49세",1405
"면목제2동","2011","남자인구수 (명)","50 - 54세",1226
"면목제2동","2011","남자인구수 (명)","55 - 59세",960
"면목제2동","2011","남자인구수 (명)","60 - 64세",646
"면목제2동","2011","남자인구수 (명)","65 - 69세",512
"면목제2동","2011","남자인구수 (명)","70 - 74세",364
"면목제2동","2011","남자인구수 (명)","75 - 79세",197
"면목제2동","2011","남자인구수 (명)","80 - 84세",81
"면목제2동","2011","남자인구수 (명)","85 - 89세",33
"면목제2동","2011","남자인구수 (명)","90 - 94세",10
"면목제2동","2011","남자인구수 (명)","95 - 99세",0
"면목제2동","2011","남자인구수 (명)","100+",0
"면목제2동","2011","여자인구수 (명)","계",14033
"면목제2동","2011","여자인구수 (명)","0 - 4세",532
"면목제2동","2011","여자인구수 (명)","5 - 9세",554
"면목제2동","2011","여자인구수 (명)","10 - 14세",720
"면목제2동","2011","여자인구수 (명)","15 - 19세",861
"면목제2동","2011","여자인구수 (명)","20 - 24세",866
"면목제2동","2011","여자인구수 (명)","25 - 29세",1066
"면목제2동","2011","여자인구수 (명)","30 - 34세",1156
"면목제2동","2011","여자인구수 (명)","35 - 39세",1213
"면목제2동","2011","여자인구수 (명)","40 - 44세",1260
"면목제2동","2011","여자인구수 (명)","45 - 49세",1245
"면목제2동","2011","여자인구수 (명)","50 - 54세",1244
"면목제2동","2011","여자인구수 (명)","55 - 59세",967
"면목제2동","2011","여자인구수 (명)","60 - 64세",731
"면목제2동","2011","여자인구수 (명)","65 - 69세",595
"면목제2동","2011","여자인구수 (명)","70 - 74세",429
"면목제2동","2011","여자인구수 (명)","75 - 79세",280
"면목제2동","2011","여자인구수 (명)","80 - 84세",197
"면목제2동","2011","여자인구수 (명)","85 - 89세",74
"면목제2동","2011","여자인구수 (명)","90 - 94세",32
"면목제2동","2011","여자인구수 (명)","95 - 99세",8
"면목제2동","2011","여자인구수 (명)","100+",3
"면목제2동","2014","총인구수 (명)","계",27571
"면목제2동","2014","총인구수 (명)","0 - 4세",986
"면목제2동","2014","총인구수 (명)","5 - 9세",939
"면목제2동","2014","총인구수 (명)","10 - 14세",1151
"면목제2동","2014","총인구수 (명)","15 - 19세",1575
"면목제2동","2014","총인구수 (명)","20 - 24세",1899
"면목제2동","2014","총인구수 (명)","25 - 29세",1888
"면목제2동","2014","총인구수 (명)","30 - 34세",2318
"면목제2동","2014","총인구수 (명)","35 - 39세",2151
"면목제2동","2014","총인구수 (명)","40 - 44세",2431
"면목제2동","2014","총인구수 (명)","45 - 49세",2641
"면목제2동","2014","총인구수 (명)","50 - 54세",2587
"면목제2동","2014","총인구수 (명)","55 - 59세",2193
"면목제2동","2014","총인구수 (명)","60 - 64세",1539
"면목제2동","2014","총인구수 (명)","65 - 69세",1172
"면목제2동","2014","총인구수 (명)","70 - 74세",958
"면목제2동","2014","총인구수 (명)","75 - 79세",584
"면목제2동","2014","총인구수 (명)","80 - 84세",327
"면목제2동","2014","총인구수 (명)","85 - 89세",161
"면목제2동","2014","총인구수 (명)","90 - 94세",54
"면목제2동","2014","총인구수 (명)","95 - 99세",13
"면목제2동","2014","총인구수 (명)","100+",4
"면목제2동","2014","남자인구수 (명)","계",13861
"면목제2동","2014","남자인구수 (명)","0 - 4세",500
"면목제2동","2014","남자인구수 (명)","5 - 9세",483
"면목제2동","2014","남자인구수 (명)","10 - 14세",563
"면목제2동","2014","남자인구수 (명)","15 - 19세",811
"면목제2동","2014","남자인구수 (명)","20 - 24세",967
"면목제2동","2014","남자인구수 (명)","25 - 29세",955
"면목제2동","2014","남자인구수 (명)","30 - 34세",1236
"면목제2동","2014","남자인구수 (명)","35 - 39세",1145
"면목제2동","2014","남자인구수 (명)","40 - 44세",1262
"면목제2동","2014","남자인구수 (명)","45 - 49세",1374
"면목제2동","2014","남자인구수 (명)","50 - 54세",1337
"면목제2동","2014","남자인구수 (명)","55 - 59세",1056
"면목제2동","2014","남자인구수 (명)","60 - 64세",770
"면목제2동","2014","남자인구수 (명)","65 - 69세",541
"면목제2동","2014","남자인구수 (명)","70 - 74세",434
"면목제2동","2014","남자인구수 (명)","75 - 79세",259
"면목제2동","2014","남자인구수 (명)","80 - 84세",112
"면목제2동","2014","남자인구수 (명)","85 - 89세",40
"면목제2동","2014","남자인구수 (명)","90 - 94세",14
"면목제2동","2014","남자인구수 (명)","95 - 99세",2
"면목제2동","2014","남자인구수 (명)","100+",0
"면목제2동","2014","여자인구수 (명)","계",13710
"면목제2동","2014","여자인구수 (명)","0 - 4세",486
"면목제2동","2014","여자인구수 (명)","5 - 9세",456
"면목제2동","2014","여자인구수 (명)","10 - 14세",588
"면목제2동","2014","여자인구수 (명)","15 - 19세",764
"면목제2동","2014","여자인구수 (명)","20 - 24세",932
"면목제2동","2014","여자인구수 (명)","25 - 29세",933
"면목제2동","2014","여자인구수 (명)","30 - 34세",1082
"면목제2동","2014","여자인구수 (명)","35 - 39세",1006
"면목제2동","2014","여자인구수 (명)","40 - 44세",1169
"면목제2동","2014","여자인구수 (명)","45 - 49세",1267
"면목제2동","2014","여자인구수 (명)","50 - 54세",1250
"면목제2동","2014","여자인구수 (명)","55 - 59세",1137
"면목제2동","2014","여자인구수 (명)","60 - 64세",769
"면목제2동","2014","여자인구수 (명)","65 - 69세",631
"면목제2동","2014","여자인구수 (명)","70 - 74세",524
"면목제2동","2014","여자인구수 (명)","75 - 79세",325
"면목제2동","2014","여자인구수 (명)","80 - 84세",215
"면목제2동","2014","여자인구수 (명)","85 - 89세",121
"면목제2동","2014","여자인구수 (명)","90 - 94세",40
"면목제2동","2014","여자인구수 (명)","95 - 99세",11
"면목제2동","2014","여자인구수 (명)","100+",4
