"행정구역(동읍면)별","시점","항목","5세별",데이터
"풍납1동","2011","총인구수 (명)","계",19374
"풍납1동","2011","총인구수 (명)","0 - 4세",782
"풍납1동","2011","총인구수 (명)","5 - 9세",699
"풍납1동","2011","총인구수 (명)","10 - 14세",949
"풍납1동","2011","총인구수 (명)","15 - 19세",1092
"풍납1동","2011","총인구수 (명)","20 - 24세",1254
"풍납1동","2011","총인구수 (명)","25 - 29세",1758
"풍납1동","2011","총인구수 (명)","30 - 34세",1839
"풍납1동","2011","총인구수 (명)","35 - 39세",1671
"풍납1동","2011","총인구수 (명)","40 - 44세",1617
"풍납1동","2011","총인구수 (명)","45 - 49세",1455
"풍납1동","2011","총인구수 (명)","50 - 54세",1830
"풍납1동","2011","총인구수 (명)","55 - 59세",1448
"풍납1동","2011","총인구수 (명)","60 - 64세",1028
"풍납1동","2011","총인구수 (명)","65 - 69세",808
"풍납1동","2011","총인구수 (명)","70 - 74세",575
"풍납1동","2011","총인구수 (명)","75 - 79세",299
"풍납1동","2011","총인구수 (명)","80 - 84세",157
"풍납1동","2011","총인구수 (명)","85 - 89세",76
"풍납1동","2011","총인구수 (명)","90 - 94세",25
"풍납1동","2011","총인구수 (명)","95 - 99세",7
"풍납1동","2011","총인구수 (명)","100+",5
"풍납1동","2011","남자인구수 (명)","계",9536
"풍납1동","2011","남자인구수 (명)","0 - 4세",411
"풍납1동","2011","남자인구수 (명)","5 - 9세",358
"풍납1동","2011","남자인구수 (명)","10 - 14세",474
"풍납1동","2011","남자인구수 (명)","15 - 19세",578
"풍납1동","2011","남자인구수 (명)","20 - 24세",633
"풍납1동","2011","남자인구수 (명)","25 - 29세",830
"풍납1동","2011","남자인구수 (명)","30 - 34세",906
"풍납1동","2011","남자인구수 (명)","35 - 39세",859
"풍납1동","2011","남자인구수 (명)","40 - 44세",855
"풍납1동","2011","남자인구수 (명)","45 - 49세",708
"풍납1동","2011","남자인구수 (명)","50 - 54세",872
"풍납1동","2011","남자인구수 (명)","55 - 59세",683
"풍납1동","2011","남자인구수 (명)","60 - 64세",499
"풍납1동","2011","남자인구수 (명)","65 - 69세",399
"풍납1동","2011","남자인구수 (명)","70 - 74세",270
"풍납1동","2011","남자인구수 (명)","75 - 79세",118
"풍납1동","2011","남자인구수 (명)","80 - 84세",51
"풍납1동","2011","남자인구수 (명)","85 - 89세",24
"풍납1동","2011","남자인구수 (명)","90 - 94세",3
"풍납1동","2011","남자인구수 (명)","95 - 99세",2
"풍납1동","2011","남자인구수 (명)","100+",3
"풍납1동","2011","여자인구수 (명)","계",9838
"풍납1동","2011","여자인구수 (명)","0 - 4세",371
"풍납1동","2011","여자인구수 (명)","5 - 9세",341
"풍납1동","2011","여자인구수 (명)","10 - 14세",475
"풍납1동","2011","여자인구수 (명)","15 - 19세",514
"풍납1동","2011","여자인구수 (명)","20 - 24세",621
"풍납1동","2011","여자인구수 (명)","25 - 29세",928
"풍납1동","2011","여자인구수 (명)","30 - 34세",933
"풍납1동","2011","여자인구수 (명)","35 - 39세",812
"풍납1동","2011","여자인구수 (명)","40 - 44세",762
"풍납1동","2011","여자인구수 (명)","45 - 49세",747
"풍납1동","2011","여자인구수 (명)","50 - 54세",958
"풍납1동","2011","여자인구수 (명)","55 - 59세",765
"풍납1동","2011","여자인구수 (명)","60 - 64세",529
"풍납1동","2011","여자인구수 (명)","65 - 69세",409
"풍납1동","2011","여자인구수 (명)","70 - 74세",305
"풍납1동","2011","여자인구수 (명)","75 - 79세",181
"풍납1동","2011","여자인구수 (명)","80 - 84세",106
"풍납1동","2011","여자인구수 (명)","85 - 89세",52
"풍납1동","2011","여자인구수 (명)","90 - 94세",22
"풍납1동","2011","여자인구수 (명)","95 - 99세",5
"풍납1동","2011","여자인구수 (명)","100+",2
"풍납1동","2014","총인구수 (명)","계",18055
"풍납1동","2014","총인구수 (명)","0 - 4세",656
"풍납1동","2014","총인구수 (명)","5 - 9세",576
"풍납1동","2014","총인구수 (명)","10 - 14세",687
"풍납1동","2014","총인구수 (명)","15 - 19세",981
"풍납1동","2014","총인구수 (명)","20 - 24세",1132
"풍납1동","2014","총인구수 (명)","25 - 29세",1374
"풍납1동","2014","총인구수 (명)","30 - 34세",1636
"풍납1동","2014","총인구수 (명)","35 - 39세",1387
"풍납1동","2014","총인구수 (명)","40 - 44세",1516
"풍납1동","2014","총인구수 (명)","45 - 49세",1440
"풍납1동","2014","총인구수 (명)","50 - 54세",1573
"풍납1동","2014","총인구수 (명)","55 - 59세",1623
"풍납1동","2014","총인구수 (명)","60 - 64세",1156
"풍납1동","2014","총인구수 (명)","65 - 69세",886
"풍납1동","2014","총인구수 (명)","70 - 74세",703
"풍납1동","2014","총인구수 (명)","75 - 79세",387
"풍납1동","2014","총인구수 (명)","80 - 84세",210
"풍납1동","2014","총인구수 (명)","85 - 89세",84
"풍납1동","2014","총인구수 (명)","90 - 94세",37
"풍납1동","2014","총인구수 (명)","95 - 99세",6
"풍납1동","2014","총인구수 (명)","100+",5
"풍납1동","2014","남자인구수 (명)","계",8919
"풍납1동","2014","남자인구수 (명)","0 - 4세",332
"풍납1동","2014","남자인구수 (명)","5 - 9세",301
"풍납1동","2014","남자인구수 (명)","10 - 14세",347
"풍납1동","2014","남자인구수 (명)","15 - 19세",476
"풍납1동","2014","남자인구수 (명)","20 - 24세",594
"풍납1동","2014","남자인구수 (명)","25 - 29세",714
"풍납1동","2014","남자인구수 (명)","30 - 34세",816
"풍납1동","2014","남자인구수 (명)","35 - 39세",721
"풍납1동","2014","남자인구수 (명)","40 - 44세",798
"풍납1동","2014","남자인구수 (명)","45 - 49세",718
"풍납1동","2014","남자인구수 (명)","50 - 54세",741
"풍납1동","2014","남자인구수 (명)","55 - 59세",782
"풍납1동","2014","남자인구수 (명)","60 - 64세",537
"풍납1동","2014","남자인구수 (명)","65 - 69세",417
"풍납1동","2014","남자인구수 (명)","70 - 74세",337
"풍납1동","2014","남자인구수 (명)","75 - 79세",186
"풍납1동","2014","남자인구수 (명)","80 - 84세",70
"풍납1동","2014","남자인구수 (명)","85 - 89세",21
"풍납1동","2014","남자인구수 (명)","90 - 94세",7
"풍납1동","2014","남자인구수 (명)","95 - 99세",1
"풍납1동","2014","남자인구수 (명)","100+",3
"풍납1동","2014","여자인구수 (명)","계",9136
"풍납1동","2014","여자인구수 (명)","0 - 4세",324
"풍납1동","2014","여자인구수 (명)","5 - 9세",275
"풍납1동","2014","여자인구수 (명)","10 - 14세",340
"풍납1동","2014","여자인구수 (명)","15 - 19세",505
"풍납1동","2014","여자인구수 (명)","20 - 24세",538
"풍납1동","2014","여자인구수 (명)","25 - 29세",660
"풍납1동","2014","여자인구수 (명)","30 - 34세",820
"풍납1동","2014","여자인구수 (명)","35 - 39세",666
"풍납1동","2014","여자인구수 (명)","40 - 44세",718
"풍납1동","2014","여자인구수 (명)","45 - 49세",722
"풍납1동","2014","여자인구수 (명)","50 - 54세",832
"풍납1동","2014","여자인구수 (명)","55 - 59세",841
"풍납1동","2014","여자인구수 (명)","60 - 64세",619
"풍납1동","2014","여자인구수 (명)","65 - 69세",469
"풍납1동","2014","여자인구수 (명)","70 - 74세",366
"풍납1동","2014","여자인구수 (명)","75 - 79세",201
"풍납1동","2014","여자인구수 (명)","80 - 84세",140
"풍납1동","2014","여자인구수 (명)","85 - 89세",63
"풍납1동","2014","여자인구수 (명)","90 - 94세",30
"풍납1동","2014","여자인구수 (명)","95 - 99세",5
"풍납1동","2014","여자인구수 (명)","100+",2
"풍납1동","2017","총인구수 (명)","계",16079
"풍납1동","2017","총인구수 (명)","0 - 4세",518
"풍납1동","2017","총인구수 (명)","5 - 9세",458
"풍납1동","2017","총인구수 (명)","10 - 14세",515
"풍납1동","2017","총인구수 (명)","15 - 19세",736
"풍납1동","2017","총인구수 (명)","20 - 24세",988
"풍납1동","2017","총인구수 (명)","25 - 29세",1095
"풍납1동","2017","총인구수 (명)","30 - 34세",1255
"풍납1동","2017","총인구수 (명)","35 - 39세",1261
"풍납1동","2017","총인구수 (명)","40 - 44세",1164
