"행정구역(동읍면)별","시점","항목","5세별",데이터
"천연동","2011","총인구수 (명)","계",20314
"천연동","2011","총인구수 (명)","0 - 4세",1022
"천연동","2011","총인구수 (명)","5 - 9세",909
"천연동","2011","총인구수 (명)","10 - 14세",1015
"천연동","2011","총인구수 (명)","15 - 19세",1232
"천연동","2011","총인구수 (명)","20 - 24세",1149
"천연동","2011","총인구수 (명)","25 - 29세",1319
"천연동","2011","총인구수 (명)","30 - 34세",1740
"천연동","2011","총인구수 (명)","35 - 39세",1910
"천연동","2011","총인구수 (명)","40 - 44세",1893
"천연동","2011","총인구수 (명)","45 - 49세",1666
"천연동","2011","총인구수 (명)","50 - 54세",1663
"천연동","2011","총인구수 (명)","55 - 59세",1256
"천연동","2011","총인구수 (명)","60 - 64세",902
"천연동","2011","총인구수 (명)","65 - 69세",863
"천연동","2011","총인구수 (명)","70 - 74세",786
"천연동","2011","총인구수 (명)","75 - 79세",516
"천연동","2011","총인구수 (명)","80 - 84세",275
"천연동","2011","총인구수 (명)","85 - 89세",116
"천연동","2011","총인구수 (명)","90 - 94세",48
"천연동","2011","총인구수 (명)","95 - 99세",17
"천연동","2011","총인구수 (명)","100+",17
"천연동","2011","남자인구수 (명)","계",9918
"천연동","2011","남자인구수 (명)","0 - 4세",541
"천연동","2011","남자인구수 (명)","5 - 9세",470
"천연동","2011","남자인구수 (명)","10 - 14세",544
"천연동","2011","남자인구수 (명)","15 - 19세",625
"천연동","2011","남자인구수 (명)","20 - 24세",609
"천연동","2011","남자인구수 (명)","25 - 29세",672
"천연동","2011","남자인구수 (명)","30 - 34세",846
"천연동","2011","남자인구수 (명)","35 - 39세",978
"천연동","2011","남자인구수 (명)","40 - 44세",988
"천연동","2011","남자인구수 (명)","45 - 49세",816
"천연동","2011","남자인구수 (명)","50 - 54세",810
"천연동","2011","남자인구수 (명)","55 - 59세",614
"천연동","2011","남자인구수 (명)","60 - 64세",393
"천연동","2011","남자인구수 (명)","65 - 69세",365
"천연동","2011","남자인구수 (명)","70 - 74세",315
"천연동","2011","남자인구수 (명)","75 - 79세",199
"천연동","2011","남자인구수 (명)","80 - 84세",73
"천연동","2011","남자인구수 (명)","85 - 89세",33
"천연동","2011","남자인구수 (명)","90 - 94세",17
"천연동","2011","남자인구수 (명)","95 - 99세",4
"천연동","2011","남자인구수 (명)","100+",6
"천연동","2011","여자인구수 (명)","계",10396
"천연동","2011","여자인구수 (명)","0 - 4세",481
"천연동","2011","여자인구수 (명)","5 - 9세",439
"천연동","2011","여자인구수 (명)","10 - 14세",471
"천연동","2011","여자인구수 (명)","15 - 19세",607
"천연동","2011","여자인구수 (명)","20 - 24세",540
"천연동","2011","여자인구수 (명)","25 - 29세",647
"천연동","2011","여자인구수 (명)","30 - 34세",894
"천연동","2011","여자인구수 (명)","35 - 39세",932
"천연동","2011","여자인구수 (명)","40 - 44세",905
"천연동","2011","여자인구수 (명)","45 - 49세",850
"천연동","2011","여자인구수 (명)","50 - 54세",853
"천연동","2011","여자인구수 (명)","55 - 59세",642
"천연동","2011","여자인구수 (명)","60 - 64세",509
"천연동","2011","여자인구수 (명)","65 - 69세",498
"천연동","2011","여자인구수 (명)","70 - 74세",471
"천연동","2011","여자인구수 (명)","75 - 79세",317
"천연동","2011","여자인구수 (명)","80 - 84세",202
"천연동","2011","여자인구수 (명)","85 - 89세",83
"천연동","2011","여자인구수 (명)","90 - 94세",31
"천연동","2011","여자인구수 (명)","95 - 99세",13
"천연동","2011","여자인구수 (명)","100+",11
"천연동","2014","총인구수 (명)","계",20032
"천연동","2014","총인구수 (명)","0 - 4세",920
"천연동","2014","총인구수 (명)","5 - 9세",919
"천연동","2014","총인구수 (명)","10 - 14세",896
"천연동","2014","총인구수 (명)","15 - 19세",1094
"천연동","2014","총인구수 (명)","20 - 24세",1228
"천연동","2014","총인구수 (명)","25 - 29세",1160
"천연동","2014","총인구수 (명)","30 - 34세",1608
"천연동","2014","총인구수 (명)","35 - 39세",1623
"천연동","2014","총인구수 (명)","40 - 44세",1936
"천연동","2014","총인구수 (명)","45 - 49세",1624
"천연동","2014","총인구수 (명)","50 - 54세",1673
"천연동","2014","총인구수 (명)","55 - 59세",1390
"천연동","2014","총인구수 (명)","60 - 64세",980
"천연동","2014","총인구수 (명)","65 - 69세",877
"천연동","2014","총인구수 (명)","70 - 74세",839
"천연동","2014","총인구수 (명)","75 - 79세",668
"천연동","2014","총인구수 (명)","80 - 84세",341
"천연동","2014","총인구수 (명)","85 - 89세",162
"천연동","2014","총인구수 (명)","90 - 94세",51
"천연동","2014","총인구수 (명)","95 - 99세",20
"천연동","2014","총인구수 (명)","100+",23
"천연동","2014","남자인구수 (명)","계",9700
"천연동","2014","남자인구수 (명)","0 - 4세",456
"천연동","2014","남자인구수 (명)","5 - 9세",470
"천연동","2014","남자인구수 (명)","10 - 14세",458
"천연동","2014","남자인구수 (명)","15 - 19세",565
"천연동","2014","남자인구수 (명)","20 - 24세",611
"천연동","2014","남자인구수 (명)","25 - 29세",617
"천연동","2014","남자인구수 (명)","30 - 34세",761
"천연동","2014","남자인구수 (명)","35 - 39세",823
"천연동","2014","남자인구수 (명)","40 - 44세",1012
"천연동","2014","남자인구수 (명)","45 - 49세",801
"천연동","2014","남자인구수 (명)","50 - 54세",824
"천연동","2014","남자인구수 (명)","55 - 59세",674
"천연동","2014","남자인구수 (명)","60 - 64세",465
"천연동","2014","남자인구수 (명)","65 - 69세",367
"천연동","2014","남자인구수 (명)","70 - 74세",345
"천연동","2014","남자인구수 (명)","75 - 79세",261
"천연동","2014","남자인구수 (명)","80 - 84세",115
"천연동","2014","남자인구수 (명)","85 - 89세",47
"천연동","2014","남자인구수 (명)","90 - 94세",16
"천연동","2014","남자인구수 (명)","95 - 99세",4
"천연동","2014","남자인구수 (명)","100+",8
"천연동","2014","여자인구수 (명)","계",10332
"천연동","2014","여자인구수 (명)","0 - 4세",464
"천연동","2014","여자인구수 (명)","5 - 9세",449
"천연동","2014","여자인구수 (명)","10 - 14세",438
"천연동","2014","여자인구수 (명)","15 - 19세",529
"천연동","2014","여자인구수 (명)","20 - 24세",617
"천연동","2014","여자인구수 (명)","25 - 29세",543
"천연동","2014","여자인구수 (명)","30 - 34세",847
"천연동","2014","여자인구수 (명)","35 - 39세",800
"천연동","2014","여자인구수 (명)","40 - 44세",924
"천연동","2014","여자인구수 (명)","45 - 49세",823
"천연동","2014","여자인구수 (명)","50 - 54세",849
"천연동","2014","여자인구수 (명)","55 - 59세",716
"천연동","2014","여자인구수 (명)","60 - 64세",515
"천연동","2014","여자인구수 (명)","65 - 69세",510
