"행정구역(시군구)별",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"김포군",110786,114974,117235,108439,113512,124194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"강화군",72137,71116,70398,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"옹진군",19741,19608,13773,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"강원도",1554106,1539801,1529304,1528488,1528671,1537106,1552667,1556979,1554688,1552407,1538720,1527034,1521375,1513110,1505420,1503806,1508575,1512870,1529818,1536448,1538630,1542263,1544442,1549507,1550806,1550142
"춘천시",179198,183192,187159,232682,235729,240226,244076,248370,251212,251142,252624,253363,254323,254999,256239,258141,261975,264849,269950,272805,273364,274455,275791,277997,280707,280514
"원주시",171356,175910,179828,237537,244535,254271,260355,265073,270009,274266,276889,280738,284628,288454,294155,298762,303975,307882,314678,320536,323885,324837,327292,332995,337979,341337
"강릉시",151768,153624,155510,223539,224111,225528,229449,232067,233121,231943,229869,229073,227259,224391,222016,220484,218399,217464,218503,217571,217741,216806,215807,214560,213846,213952
"동해시",96293,97734,99126,100277,101912,103112,103474,103704,103654,103570,102857,101764,100727,99230,97497,96652,95652,95271,95236,95804,93897,95143,94562,93895,93297,92851
"태백시",79343,71890,68129,64850,62436,60438,59896,58588,57023,56193,55154,53948,53264,52463,51593,51490,51028,50424,50864,50176,49493,48794,48258,47501,47070,45888
"속초시",74730,76577,78549,80625,82472,85263,86923,88764,90032,90231,90029,89047,87933,87124,86073,85370,84599,83822,84302,83745,83579,83109,82432,81992,81793,82273
"삼척시",41453,41697,41821,90005,87303,86016,85846,84523,82177,79770,77434,75759,74301,73134,71750,70791,70954,71935,72046,72312,72463,73023,72314,70839,69599,68514
"춘천군",42289,41681,40865,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"홍천군",79408,78047,76891,75924,75493,75105,75251,74939,74461,74019,72514,71351,71907,70811,70037,70142,70360,69606,69893,69899,69727,70638,70451,70336,70076,70340
"횡성군",51447,50343,49350,48773,48112,47081,47362,46822,45961,45496,45198,44306,44297,43678,42982,43176,43413,44121,44254,44360,44615,44937,45373,45777,45991,46281
"원주군",49157,50430,50954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"영월군",58781,56473,54886,53398,51787,50498,50287,49746,48393,52101,45273,44027,42406,41538,40511,40290,40201,40265,40407,40199,40155,40150,40191,40216,40073,40067
"평창군",53352,51716,50535,49781,49361,48811,48746,48003,47125,46478,46262,46375,45311,45033,44332,44003,43706,43634,43622,43577,43627,43666,43660,43500,43318,43092
"정선군",80121,72890,66160,61115,57350,54668,53849,51734,50572,49048,51226,46225,45419,44203,43186,41806,41269,40708,41045,40181,39915,39985,39425,39197,38718,38173
"철원군",55192,54720,54268,54281,54295,54194,54500,53946,53190,52072,50532,50212,49650,48933,48024,47420,47724,47669,48928,48084,47968,47473,47590,48799,48013,47185
"화천군",26748,26629,26318,26321,26010,25627,25916,25544,25188,24965,24088,24540,24267,23732,23317,22944,24110,24216,24364,24945,25020,25079,27143,27020,26264,26022
"양구군",25270,24802,24560,24233,24047,23778,24027,23756,23420,23198,22527,21995,21692,21480,21269,21401,21303,21323,21843,22285,22799,23594,23888,24089,24010,23835
"인제군",35686,35251,35306,35079,34670,34187,34288,34090,33618,33092,32447,32092,32443,32811,32493,32079,31620,31452,31842,31970,32456,32517,32475,33255,32720,32582
"고성군",41592,40482,39454,39005,38142,37384,37319,36369,35391,34643,33721,32739,32361,31964,31285,30383,30172,30272,30112,30057,30124,30398,30269,30060,30114,30029
"양양군",32292,31913,31300,31063,30906,30919,31103,30941,30141,30180,30076,29480,29187,29132,28661,28472,28115,27957,27929,27942,27802,27659,27521,27479,27218,27207
"명주군",70086,68799,67407,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"삼척군",58544,55001,50928,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"충청북도",1403633,1418403,1425295,1439346,1454524,1470776,1484466,1492077,1497513,1496520,1492713,1489635,1488945,1488803,1494559,1506608,1519587,1527478,1549528,1562903,1565628,1572732,1578933,1583952,1591625,1594432
"청주시",471118,489033,504221,519072,530836,544115,557405,569072,580861,592504,603941,615155,624288,630939,626679,633286,638663,643161,655971,661946,666852,672904,831521,831912,835197,835590
"서원구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,224727,220045,217120,216782
"청원구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,174975,182017,190813,193767
"상당구",-,-,-,221170,231220,232093,234924,233907,232768,235272,240972,249306,255214,258598,256339,250558,246344,243777,241589,241621,240433,246128,179792,176424,173701,171129
"흥덕구",-,-,-,297902,299616,312022,322481,335165,348093,357232,362969,365849,369074,372341,370340,382728,392319,399384,414382,420325,426419,426776,252027,253426,253563,253912
"동부출장소",-,197457,209761,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"서부출장소",-,291576,294460,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"충주시",138300,140977,144796,212872,215151,217638,218846,218763,217305,215249,211980,209138,207534,205907,204610,205064,206372,206613,208481,208433,208447,208115,208527,207913,208350,208316
"제천시",107522,109195,110080,146087,147090,147901,147942,148155,147950,144968,143231,140676,138872,138201,136398,136218,135738,135580,137264,137689,137521,137204,136805,136138,136517,136432
"청원군",120070,119549,117871,117560,119843,121794,123385,122922,123984,124181,122782,121235,119745,119784,136538,143021,148063,149783,152944,158369,154780,155002,-,-,-,-
"보은군",53513,51814,49891,48460,47242,45980,45554,44562,43245,42082,40420,38973,38062,37114,36293,35354,35069,34845,34956,34717,34438,34318,34240,34296,34221,34053
"옥천군",69031,67312,65519,64694,63703,63075,62708,61845,60798,59515,58461,57505,56634,55610,54923,54608,54475,54117,54025,53496,53244,52763,52469,52404,52267,51766
"영동군",66613,65388,64073,62966,62052,61205,60890,60094,58627,57184,55752,54036,52597,51800,50819,50131,50276,50426,50523,50621,50663,50539,50803,50693,50552,50240
"증평군",-,-,-,-,-,-,-,-,-,-,-,31310,30899,30607,30483,31145,32179,33164,33533,34009,34279,34546,34771,36671,37308,37783
"진천군",55902,56290,56300,56810,57975,59031,59177,58979,60121,60309,59699,59724,60347,60155,60111,60154,60715,61456,62094,63051,63458,64606,65174,67981,69950,73677
"괴산군",55028,53137,51042,49606,48219,47068,46272,45468,44380,43126,41827,40411,39586,38595,37570,36873,36566,36775,36827,37333,37713,38059,38351,38787,38973,39054
"음성군",80009,81298,81578,83682,85345,87104,87023,87747,87956,87289,86562,85771,85638,85969,86789,88355,89542,89716,91093,91644,92980,93505,95324,96396,97787,97306
"중원군",68538,67749,65874,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"제천군",36969,36083,35158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"단양군",49081,47598,46060,44327,43593,42738,42302,41137,40000,38721,37320,35701,34743,34122,33346,32399,31929,31842,31817,31595,31253,31171,30948,30761,30503,30215
"증평출장소",31939,32980,32832,33210,33475,33127,32962,33333,32286,31392,30738,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"충청남도",1870723,1856333,1842157,1852361,1873499,1897074,1913428,1919330,1921604,1918137,1907725,1912803,1953406,1962646,1974433,1995531,2018537,2037582,2075514,2101284,2028777,2047631,2062273,2077649,2096727,2116770
"당진시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,155104,159615,162844,165122,166630,167439
"천안시",195368,203091,212242,333630,350473,370928,383990,403017,421418,432534,441243,456501,503082,512482,523323,531956,537698,540832,557673,571377,581988,591089,598346,605776,617955,631531
"동남구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,235270,237854,247323,252942,257908,260575,261768,261474,258919,255878
"서북구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,302428,302978,310350,318435,324080,330514,336578,344302,359036,375653
"공주시",57059,57858,58657,138069,137705,136617,136988,136819,135589,133978,132584,130957,130280,129489,128330,126612,125143,124172,124930,124748,117298,116369,113621,111261,109931,108432
"대천시",54715,54894,55198,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"보령시",-,-,-,122895,121961,121765,122191,120721,118504,116306,113365,110380,108861,108056,107591,107637,106885,106754,107346,106421,105559,104938,104321,104754,103873,103198
"온양시",61656,65299,66590,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"아산시",-,-,-,158214,166503,175658,179199,180618,184191,186469,191123,193122,200938,204431,211560,221490,240942,256449,265191,274523,280490,287073,293954,297737,302929,311453
"서산시",55181,56195,57906,142222,145968,149585,150618,150763,150028,150116,148150,151818,150131,150294,150889,153569,156867,158886,160468,161489,163315,165837,167611,170099,170788,171678
"계룡출장소",10770,12323,13987,15645,18229,21821,25707,26767,27505,28775,29830,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"논산시",-,-,-,-,148712,147265,146629,144488,142390,140287,137419,135719,135572,134217,131466,129486,127797,127097,127507,127533,126653,125844,124784,124232,123213,122240
"계룡시",-,-,-,-,-,-,-,-,-,-,-,31058,31174,34370,36846,37775,41411,42760,43088,42942,41550,40957,40552,41730,42634,43967
"금산군",75986,72704,69726,70831,72114,70125,67760,65287,64515,62985,61350,60740,60048,58378,57552,57690,56740,56220,56555,56030,55715,55441,55166,54879,54612,53894
"연기군",85688,83687,82278,80748,80895,80274,80601,80947,80471,81328,82323,82733,84455,84308,82747,79977,78645,79482,81871,82890,-,-,-,-,-,-
"공주군",86573,83530,80444,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"논산군",157112,153237,149968,150012,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"부여군",112754,109688,106235,103516,100746,98138,97065,95044,92667,90373,88014,85275,83260,81430,79595,77916,76687,75564,75029,74004,73259,72547,71754,71143,70187,69086
"서천군",92307,89702,87151,85184,82932,80973,80078,77953,75259,72787,70116,67414,65650,64322,62629,61168,60507,60066,60085,59541,58920,58441,57713,56910,56012,55175
"보령군",76261,72961,69577,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"청양군",50752,48998,47240,45714,44544,43404,42920,42109,41025,40029,38588,36992,35626,34921,34086,33604,33062,32613,32541,32291,32087,32155,32248,32485,32753,32837
"홍성군",106339,104609,102737,101458,99649,99077,98920,97288,95369,93558,91377,94658,91223,90931,89555,88685,88176,87631,88078,88108,88415,89704,91866,94553,99971,101570
"예산군",116732,114566,112050,109962,108029,106248,105346,103763,101432,100289,97786,95029,91832,90740,89585,88670,88144,87163,87002,86421,85876,85205,84919,83484,81339,80338
"서산군",86420,84510,82347,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"태안군",77909,76050,73991,72168,70466,70043,70056,69162,68746,67878,66062,63930,63764,63794,63754,63042,63401,63095,63247,62747,62548,62416,62574,63484,63900,63932
"당진군",122602,121465,120838,122093,124573,125153,125360,124584,122495,120445,118395,116477,117510,120483,124925,136254,136432,138798,144903,150219,-,-,-,-,-,-
"아산군",89817,88338,88185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"천안군",98722,102628,104810,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전라북도",2027454,2016018,2002899,2006602,2004345,2001606,2009250,2009507,1999255,2006454,1953846,1954430,1906742,1885335,1868365,1862277,1855772,1854508,1868963,1874031,1873341,1872965,1871560,1869711,1864791,1854607
"전주시",538807,549152,558121,569804,582136,588885,599196,610566,620521,622283,624485,618819,622472,621749,624849,623926,631532,635007,641525,645894,648863,650082,652877,652282,651744,648964
"완산구",267668,280567,288595,165592,166952,163528,322399,325835,332517,335556,342063,342672,345623,348968,351051,348930,352259,352737,357919,362636,363986,363694,364872,365605,361845,359012
"덕진구",271139,268585,269526,271198,267972,271260,276797,284731,288004,286727,282422,276147,276849,272781,273798,274996,279273,282270,283606,283258,284877,286388,288005,286677,289899,289952
"효자출장소",-,-,-,133014,147212,154097,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"군산시",199943,204505,207696,275819,278069,280648,280666,279644,277491,276717,272007,268639,265168,263120,260989,260562,263845,266922,272601,275659,278341,278319,278098,278398,277551,274997
"익산시",209459,216655,222381,328152,328162,330310,333788,335277,334324,334757,330101,325238,322378,318506,315094,313590,309269,306669,307289,309804,306469,306539,304117,302061,300479,300187
"정읍시",72343,71926,72135,151039,150224,150343,150505,151134,152022,151813,139133,155319,132285,129050,126249,124239,122842,121545,122000,120466,119392,118328,117183,115977,115173,113776
"남원시",54133,54848,55156,109185,108274,107180,106300,104544,103571,103977,100392,101950,96243,93670,91265,89247,88356,87675,87775,87455,87000,86460,85643,84856,84188,83281
"김제시",46960,46999,47350,128415,125582,122761,121636,118563,115865,115244,110989,110710,105195,102720,100238,97615,95807,94770,94346,93111,92317,91218,90108,88721,87782,86926
"완주군",89426,87522,85917,86461,85354,86055,86138,85540,84009,86719,84626,83649,82482,83651,83199,82972,83757,83885,85119,84660,86164,86978,90377,95303,95480,95975
"진안군",46102,44158,42142,40086,38077,35973,34635,33645,31273,32635,30439,30475,30757,29021,27122,30250,27230,27558,27543,28473,26963,26703,26474,26203,26069,26271
"무주군",35219,33960,33097,32293,31511,30835,30580,31776,29207,30333,27894,26716,26183,25876,25417,26361,26017,25811,25578,25863,25321,25398,25390,25220,24949,24809
"장수군",35446,33714,32650,31485,30632,29770,30513,30159,30051,30445,26349,29445,26788,24755,24209,26687,23864,23478,23386,23215,23191,23243,23335,23277,23628,23003
"임실군",50234,47953,46055,44612,42984,41326,40519,39265,37514,37439,35071,34283,33008,32511,31976,31952,31133,30703,30593,30789,29956,29739,29966,30271,30197,30162
"남원군",60288,57687,55182,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"순창군",44828,42824,40965,39728,38638,37553,36832,35793,34587,33892,32329,31482,31814,32012,32485,32035,30920,30179,30209,29497,30055,30272,30368,30248,29949,29698
"정읍군",87493,83994,80311,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"고창군",95836,91825,87979,85173,82568,79723,78587,76099,74104,74286,69657,69639,65203,63676,62030,60962,60328,60102,60861,60065,60440,60522,60090,60046,60597,60472
"부안군",92784,89456,86684,84350,82134,80244,79355,77502,74716,75914,70374,68066,66766,65018,63243,61879,60872,60204,60138,59080,58869,59164,57534,56848,57005,56086
"김제군",91944,88220,82788,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"옥구군",69318,66810,65075,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"익산군",106891,103810,101215,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"전라남도",2283108,2235346,2197391,2185564,2175206,2163353,2171024,2155093,2130614,2099308,2054204,2017730,1986192,1967205,1942925,1929836,1919000,1913004,1918485,1914339,1909618,1907172,1905780,1908996,1903914,1896424
"목포시",224670,227030,231407,239423,245152,249764,248568,246381,245492,245344,244909,241460,241717,242988,241679,243312,245651,244339,245422,244871,245073,240936,239109,238382,237739,234379
"여수시",185151,185356,185897,185551,187074,188312,329409,326666,323913,320146,315536,310350,305312,301389,297489,295439,295133,293546,293488,292750,292217,291366,290900,290168,288988,286382
"순천시",155466,160931,168818,251156,257636,264425,266553,267883,270345,271734,271139,269843,270059,270934,269940,270380,269429,269516,272620,272201,273798,275668,277188,278765,278548,279331
"나주시",37937,38119,38085,116179,114834,112393,111719,110148,108459,105832,102825,101708,99308,97980,96417,95439,92884,90875,90118,88243,88067,87754,90669,98182,104376,110110
"여천시",73629,73836,74795,77864,80381,80909,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"동광양시",55326,56726,59147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"광양시",-,-,-,129111,131191,132288,136728,138083,137940,138238,137913,136484,137601,138098,138237,138865,141388,143461,145512,150725,150837,151621,152097,153587,155580,155857
"담양군",65247,63721,62080,61174,59907,58600,57797,56536,55089,53268,51535,50933,50613,50364,50332,50441,48347,47286,47808,47819,47612,47365,47177,47009,47229,47285
"곡성군",46102,44133,42628,41759,40788,41236,40809,41609,41149,38767,36754,35297,34396,34157,33631,33311,32608,32084,31886,31332,30878,31009,30732,30672,30400,30131
"구례군",39736,38403,37223,36432,35822,35032,34949,34242,33588,32948,31755,30509,30232,29577,28837,28203,27703,27518,27375,27422,27077,27115,27170,27308,27412,27525
"광양군",72994,70063,68588,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"여천군",74276,71555,68483,65724,63182,61246,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"승주군",77050,75316,73071,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"고흥군",126906,121851,117067,112384,108128,104470,103256,102542,100989,95864,92715,91518,86747,83830,81068,78589,76605,75127,73924,72607,71560,70631,69641,68601,67656,66736
"보성군",78940,75556,72685,70039,67664,65253,64445,63047,61329,59417,57282,55983,54288,53145,51948,50921,50004,49048,48792,47894,47050,46385,45882,45349,44469,43755
"화순군",73102,71414,70228,70736,73443,73698,76299,78042,78610,79219,78443,76123,75023,73673,72615,71551,70327,69675,69368,68985,68378,67829,66772,65848,65303,64680
"장흥군",66804,63968,61777,60112,58867,57500,56894,55533,53392,51738,50232,47837,46568,45542,44451,43468,42783,42097,42394,42552,42672,43004,43190,43513,40669,40136
"강진군",60381,58301,56431,55042,53488,52188,51739,51207,49254,50846,46381,44743,43550,42696,41938,41352,41153,41164,41624,41599,40241,40079,39861,38758,37753,36868
"해남군",115303,111754,107932,104628,101578,99329,101758,100792,99230,96445,92323,89981,87736,86238,84338,82529,81043,81148,79579,78346,78150,77684,76981,76194,75121,73604
"영암군",68698,66050,63386,62388,64214,63761,65869,66018,65268,64391,64637,63267,62336,62004,61546,60742,60106,59837,60082,60139,59997,59061,58852,58137,57045,55616
"무안군",82162,79378,77093,75037,73076,71804,71334,71164,70212,68904,65976,63681,62472,61915,61766,63674,66598,72417,74475,75718,75741,79367,81696,82236,82109,82872
"나주군",85669,82635,79992,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"함평군",58212,55676,52803,51686,49682,48237,50854,46830,45232,43522,41965,42119,40205,40189,38647,37998,37432,37089,36702,36134,35780,35610,35090,34876,34397,34328
"영광군",86731,83647,78921,76116,74276,74724,75658,74760,72780,70120,67055,64148,62959,61500,60045,58837,58075,57037,57362,56863,57224,57617,56833,56267,55618,54774
"장성군",61339,58838,57327,58898,58321,57664,56992,56462,55986,54687,52542,51493,50200,49165,47870,47410,46602,46214,46514,46245,46289,46292,46273,46360,46104,46111
"완도군",82564,79255,76216,74015,71374,69409,68915,68833,66978,65397,62964,61145,59950,58841,57464,56201,54999,54301,54269,54037,53871,53619,53174,53014,52668,52109
"진도군",52890,50659,48683,47256,45500,44256,43865,43362,42229,41139,39619,38382,37329,36529,35953,35206,34412,33931,33743,33502,33208,32998,32746,32476,32078,31765
"신안군",75823,71175,66628,62854,59628,56855,56614,54953,53150,51342,49704,50726,47591,46451,46714,45968,45718,45294,45428,44355,43898,44162,43747,43294,42652,42070
"경상북도",2872170,2876288,2873138,2770378,2790451,2799084,2809595,2808567,2797178,2784704,2756744,2720832,2695917,2688491,2688577,2681364,2673931,2669876,2689920,2699195,2698353,2699440,2700794,2702826,2700398,2691706
"포항시",318494,322163,327042,510167,511409,511675,512001,513390,515977,515039,511667,508850,507129,507052,505008,505555,508119,509475,514755,517088,518913,519467,519368,519584,516775,513832
"남구",-,-,-,-,-,-,-,-,-,-,-,259237,255608,255866,252219,253451,253771,252584,254288,252556,251434,249709,247649,246445,244748,242469
"북구",-,-,-,-,-,-,-,-,-,-,-,249613,251521,251186,252789,252104,254348,256891,260467,264532,267479,269758,271719,273139,272027,271363
"경주시",140310,145216,147733,283766,288319,291146,291414,291614,290149,287506,284589,281177,277870,275087,273419,272206,269343,267466,267098,265488,264091,263283,261535,259773,259452,257903
"김천시",82474,83338,84169,151641,150818,150366,150144,151459,149864,150858,146666,150306,143527,141632,139682,139084,138056,135918,136136,136185,135504,135259,135456,140132,142256,142908
"안동시",115763,117779,119924,192522,191167,188459,187515,186188,183903,181838,179326,175677,174037,171387,168733,167916,167300,167432,167886,168157,168302,168461,168697,169221,168798,166272
"구미시",196816,210203,220187,302413,311437,321463,328659,335487,336914,344159,350011,355629,365681,374614,386465,391897,393959,396419,404920,413446,416949,419428,420320,419915,419891,421799
"영주시",84124,84673,85322,138654,136939,135230,134774,133534,131175,128707,126040,123806,121513,119098,116965,115083,113930,113309,113926,114148,113547,112625,110780,109735,109247,108371
"영천시",51396,53695,54560,123069,121560,121198,122609,121930,119639,117991,115401,112423,109520,107337,105029,105819,104022,103115,103190,104182,101798,100778,100689,100648,100521,100615
"상주시",52129,52440,53021,133895,132371,130564,129259,127127,124674,122047,118999,115337,112585,110444,108280,106600,105381,106208,105607,104685,104182,103346,102892,102374,101799,100947
"점촌시",48417,47740,47569,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"문경시",-,-,-,95778,93567,91774,91163,90144,89900,89091,83749,81258,79552,78058,76177,74780,75486,76645,77391,76727,75899,75664,75911,75784,74702,73294
"경산시",62402,69199,74592,164632,184924,198304,207444,212489,213821,215995,218446,216240,219579,227766,234839,236881,237423,236459,240708,243684,246358,248805,253968,256888,258037,259485
"달성군",107933,111137,112590,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"군위군",36363,35513,34423,33577,32831,32063,31490,31846,32637,34055,31654,29762,28825,27709,26687,25781,25309,24966,24736,24268,24119,24172,24170,24126,24171,24215
"의성군",96598,93233,89786,86169,83552,81533,80559,78866,76327,73872,70863,68372,66124,64457,62947,61366,60033,59109,58832,57744,57043,56064,55212,54477,54014,53474
"안동군",81846,78041,74286,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"청송군",40847,40118,38826,37878,36609,35813,35760,34959,34248,33517,32323,31313,30099,29298,28465,27862,27289,26917,26715,26569,26481,26470,26453,26384,26301,26006
"영양군",29620,28387,27151,26040,25151,24276,23976,23409,22805,22172,21385,20772,20205,20025,19615,19119,18766,18553,18451,18241,18208,18297,18197,17898,17713,17479
"영덕군",63539,61720,59593,57548,55840,54358,53999,52730,51131,49593,52602,46965,45826,45003,46460,43470,42707,41710,41377,40794,40257,40142,39586,39191,39052,38529
"영일군",181350,181513,179674,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"경주군",132372,132803,132426,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"영천군",73622,71856,69441,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"경산군",80650,80656,82511,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"청도군",59215,58141,56827,55966,56383,56598,56658,55512,52497,51268,50716,50141,47678,46748,46144,45515,44711,44279,44391,44298,43968,43788,43993,43724,43564,43346
"고령군",37935,37356,36625,36194,37653,38781,38447,38251,37587,36796,35978,34942,34522,34271,34777,34907,34770,34535,34678,35455,35343,35198,35033,34594,34257,33768
"성주군",55019,54743,54199,53878,53675,53213,52820,52405,51104,50380,51761,48655,47731,46960,46358,45680,45024,45616,45289,45640,45127,45067,44981,45029,45205,45138
"칠곡군",80172,81083,82742,86365,90464,91500,92420,93282,103537,104743,105844,105843,106475,107750,111390,113851,116472,117288,119087,118838,119786,121182,122058,122829,123199,120864
"금릉군",73479,71398,69461,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"선산군",64674,64674,64588,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"상주군",89719,86170,82959,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"문경군",57637,54134,50974,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"예천군",76467,73055,70506,68306,66508,64643,63681,61828,59885,58081,55746,53649,52132,50951,50218,48866,47993,47306,47049,46579,46027,45573,45104,44674,46166,49253
"영풍군",59121,57251,55197,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"봉화군",58144,54909,52095,49960,48131,46460,45737,44437,42865,41364,39852,39439,37526,36599,35608,35046,34628,34297,34567,34192,33934,33894,34023,33808,33539,33259
"울진군",71061,70182,70718,70717,70343,69145,68342,67259,66298,65688,63511,61031,58590,56707,55076,53955,53042,52529,52430,52045,51844,51953,52104,51885,51738,50974
"울릉군",12462,11769,11421,11243,10800,10522,10724,10421,10241,9944,9615,9245,9191,9538,10235,10125,10168,10325,10701,10742,10673,10524,10264,10153,10001,9975
"경상남도",3846825,3902502,3962374,3949903,4009419,3043758,3069755,3080229,3094413,3106502,3124418,3139017,3143814,3160431,3172857,3196953,3225255,3250176,3290536,3308765,3319314,3333820,3350257,3364702,3373871,3380404
"창원시",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1090181,1091881,1091471,1083731,1075168,1070064,1063907,1057032
"의창구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,251647,254419,255394,255816,258250,256471,252435,253349
"성산구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,251073,247720,246801,242870,238414,234399,231571,227942
"마산합포구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,186420,186399,185505,183365,182223,181670,181797,181917
"마산회원구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,225182,223235,221388,219558,214291,211791,210791,203926
"진해구",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175859,180108,182383,182122,181990,185733,187313,189898
"창원시",384816,399393,420286,478007,494103,503899,503938,514935,519798,524068,513659,510439,507161,504520,503881,503930,503518,502727,-,-,-,-,-,-,-,-
"울산시",751851,754197,767093,967399,991285,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"합포구",191604,187866,185838,213893,212901,212734,216135,216146,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"회원구",201324,197111,192234,217526,216951,214252,217949,218344,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
