"행정구역(시군구)별",1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"행정구역(시군구)별",총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명),총인구수 (명)
"동래구",592938,584614,572506,313176,307925,302325,300275,301307,300081,295361,290396,282056,279366,276095,279528,284901,282673,281644,282779,283742,278767,276689,275971,272837,272745,270727
"남구",550283,536841,528129,320745,315041,308372,304978,299074,299518,302642,305375,307287,304481,302257,297893,296666,298314,297963,298458,295121,291175,291770,286989,283101,278779,273854
"북구",528631,554414,571620,283351,293307,296203,296335,306682,307238,311481,320976,326710,333316,335699,330446,325302,318859,314227,312218,307988,312937,309719,306974,310484,310202,302924
"해운대구",278469,286876,294059,305095,346231,379944,402154,407491,408842,407562,401663,403585,403432,404599,418875,423816,424455,424974,426729,425618,428188,425536,423531,422818,419853,412039
"사하구",370012,379645,382271,388534,394296,392514,391758,389570,388020,383864,378236,375283,374248,371909,366865,364693,365368,359800,358730,355443,352726,349110,343371,337781,334603,333301
"금정구",322382,316493,311854,312034,303946,301970,297844,294560,292187,285760,278511,274696,271046,264880,263338,258934,256398,252039,255419,254720,255692,253526,249856,246026,244624,244469
"강서구",80750,77615,75013,73354,70961,68828,67244,64268,62137,60457,58288,56415,54711,53808,53169,51819,52156,60372,62594,64733,65806,69873,79619,94608,108909,117382
"연제구",-,-,-,248908,240026,232641,225983,226854,223344,226267,228268,225473,221853,217763,214809,212658,212810,210390,212696,213326,211536,209290,208012,210718,207268,206742
"수영구",-,-,-,202698,197118,193938,189461,186480,184743,181075,177881,177119,180576,178684,177814,178253,177140,177292,178267,176691,176666,175098,178480,179795,179324,179996
"사상구",-,-,-,293924,293031,292449,290621,296142,301127,300309,294090,287938,282097,277481,271484,265512,260897,255274,257843,254413,250424,246797,242953,237711,232800,229219
"기장군",-,-,-,72073,73790,74139,74456,74125,74324,76166,76384,77632,79788,80104,79334,79565,81159,89384,102557,108095,114566,132507,144748,153093,158527,161651
"대구광역시",2284191,2312166,2342680,2478589,2480345,2488346,2493440,2505710,2524253,2525109,2525803,2529544,2524712,2511306,2496115,2493261,2492724,2489781,2511676,2507271,2505644,2501588,2493264,2487829,2484557,2475231
"중구",131151,128915,121759,114759,107893,103081,99311,95498,91880,89577,87070,83517,79911,80081,78615,79093,78824,77585,77857,76600,75439,76246,78812,80928,79712,78986
"동구",364010,361703,360022,353823,347756,343934,342458,340649,338052,336272,333134,339511,344328,344082,337902,336049,330996,331421,337529,341206,342092,343802,347975,349728,351352,349379
"서구",380969,366869,355194,342018,331411,317944,302773,293012,286197,280075,272752,264699,258098,251004,243560,237757,228720,225193,224618,222619,220211,215399,210770,206028,199507,191992
"남구",250557,242594,236880,229475,218870,209874,203050,201433,196286,192629,189725,185566,181381,180011,180481,178530,175317,171873,171197,169095,168715,166062,163492,160852,156433,152845
"북구",325181,345587,357841,379805,393294,392570,392603,404053,409353,414305,435209,446318,459741,464559,468030,463056,461518,453367,452505,449775,448485,444359,444375,443119,440383,441375
"수성구",418956,426016,440702,456408,468588,468759,462205,460485,459658,456487,446879,448430,443881,437356,440172,447164,451732,456196,461988,461083,459779,461004,456505,451786,447011,439211
"달서구",413367,440482,470282,482345,486335,514729,552170,567715,588546,599664,605433,603949,601467,595860,589041,591169,594616,598011,607083,606542,606557,610358,606433,602641,591891,578068
"달성군",-,-,-,119956,126198,137455,138870,142865,154281,156100,155601,157554,155905,158353,158314,160443,171001,176135,178899,180351,184366,184358,184902,192747,218268,243375
